x_position;y_position;z_position;angle_distance;count_exp;noisy_count;count_tuning;noisy_count_tuning;count_tuning0;noisy_count_tuning0;;noisy_error;tuning_error;noisy_tuning_error;
-0.020238095;0.076292714;0.402585428;0.278581603;1437.89;1431.168512;1433.25;1431.29;1453.21;1454.6;;0.004674549;0.003226951;0.004590059;0.001363108
-0.026190476;0.078354679;0.406709359;0.286110836;1278.37;1281.496392;1269.58;1269.29;1296.53;1295.87;;0.002445608;0.006875944;0.007102795;0.000226851
-0.032142857;0.080416645;0.410833289;0.293640068;1137.71;1130.739945;1126.17;1126.89;1155.55;1155.43;;0.00612639;0.010143182;0.009510332;-0.00063285
-0.038095238;0.08247861;0.41495722;0.301169301;1013.76;1012.702541;998.698;1000.92;1032.32;1032.17;;0.001043106;0.01485756;0.01266572;-0.00219184
-0.044047619;0.084540575;0.41908115;0.308698533;903.73;898.6995914;887.331;889.52;922.663;922.01;;0.005566274;0.018145906;0.015723723;-0.002422184
-0.05;0.08660254;0.423205081;0.316227766;806.217;814.0395868;788.819;791.394;825.641;824.969;;0.00970283;0.021579798;0.018385869;-0.003193929
-0.1;0;0.25;-0.1;585.88;580.5676666;561.266;566.906;606.231;606.061;;0.009067272;0.042012016;0.032385471;-0.009626545
-0.091666667;0;0.25;-0.091666667;669.848;677.5474514;644.84;650.666;691.229;691.114;;0.011494326;0.037333843;0.028636347;-0.008697496
-0.083333333;0;0.25;-0.083333333;766.72;765.2900477;742.25;747.464;789.51;789.037;;0.001865025;0.031915171;0.025114775;-0.006800396
-0.075;0;0.25;-0.075;878.496;876.2015629;854.072;858.946;901.764;901.655;;0.002611779;0.027802062;0.022253943;-0.005548119
-0.066666667;0;0.25;-0.066666667;1008.39;1003.492967;985.006;989.195;1031.27;1032.65;;0.004856289;0.023189441;0.019035294;-0.004154147
-0.058333333;0;0.25;-0.058333333;1158.77;1161.873456;1137;1139.88;1182.26;1182.07;;0.002678233;0.018787162;0.016301768;-0.002485394
-0.05;0;0.25;-0.05;1333.32;1335.972133;1313.92;1315.68;1357.08;1357.38;;0.00198912;0.014550146;0.013230132;-0.001320013
-0.041666667;0;0.25;-0.041666667;1536.54;1525.274446;1519.77;1522.75;1560.41;1560.09;;0.007331768;0.010914132;0.008974709;-0.001939422
-0.033333333;0;0.25;-0.033333333;1773.94;1773.958225;1763.11;1762.61;1797.5;1798.03;;1.0274E-05;0.006105054;0.006386913;0.000281858
-0.025;0;0.25;-0.025;2051.27;2048.923437;2044.39;2042.85;2072.93;2072.51;;0.001143956;0.00335402;0.004104774;0.000750754
-0.016666667;0;0.25;-0.016666667;2376.01;2381.545695;2375.35;2373.09;2395.45;2394.8;;0.002329828;0.000277777;0.001228951;0.000951174
-0.008333333;0;0.25;-0.008333333;2756.51;2759.676142;2761.63;2759.39;2772.19;2774.83;;0.001148605;0.001857421;0.001044799;-0.000812622
0;0;0.25;0;3204.92;3204.891;3217.53;3214.38;3217.3;3218.58;;9.04849E-06;0.003934576;0.002951712;-0.000982864
0.008333333;0;0.25;0.008333333;3732.34;3731.989982;3752.66;3749.21;3742.55;3741.86;;9.37799E-05;0.005444306;0.004519953;-0.000924353
0.016666667;0;0.25;0.016666667;4354.8;4363.54602;4380.99;4382.09;4360.94;4357.48;;0.002008363;0.006014053;0.006266648;0.000252595
0.025;0;0.25;0.025;5091.17;5094.117851;5118.86;5123.34;5088.84;5091.63;;0.000579013;0.005438828;0.006318783;0.000879955
0.033333333;0;0.25;0.033333333;5964.9;5960.658303;5987.96;6003.59;5960.4;5960.63;;0.00071111;0.003865949;0.006486278;0.002620329
0.041666667;0;0.25;0.041666667;7000.45;7006.897985;7003.1;7048.76;6993.75;6993.53;;0.000921082;0.000378547;0.006900985;0.006522438
0.05;0;0.25;0.05;8231.69;8226.100033;8204.18;8284.82;8228.81;8238.44;;0.000679079;0.003341963;0.006454325;0.003112362
0.058333333;0;0.25;0.058333333;9694.47;9694.841081;9600.48;9738.25;9705.89;9697.19;;3.82776E-05;0.009695218;0.004515977;-0.005179241
0.066666667;0;0.25;0.066666667;11441.9;11444.93038;11225.7;11445.4;11472.3;11470.7;;0.000264849;0.018895463;0.000305893;-0.01858957
0.075;0;0.25;0.075;13518.9;13518.76467;13116.6;13461.5;13597.2;13589.9;;1.00103E-05;0.029758338;0.004245908;-0.025512431
0.083333333;0;0.25;0.083333333;15991.2;15993.56569;15284.2;15820.1;16146.9;16140.3;;0.000147937;0.044211816;0.010699635;-0.033512182
0.091666667;0;0.25;0.091666667;18927.6;18921.28689;17766.8;18574.9;19216.7;19210.2;;0.00033354;0.06132843;0.018634164;-0.042694267
0.1;0;0.25;0.1;22397.3;22386.79413;20577.8;21768.8;22923.8;22908.1;;0.000469068;0.081237471;0.028061418;-0.053176052
;;;;;2541.280064;;;;;;;;;
