particle_positions_x,particle_positions_y,particle_positions_z,noisy_particle_positions_x,noisy_particle_positions_y,noisy_particle_positions_z,counts_it1000,counts_it10000,counts_it100000,counts_it1000000,counts_it10000000,counts_it10001,counts_it100001,counts_it1000001,counts_it10000001,counts_it10002,counts_it100002,counts_it1000002,counts_it10000002,noisy_counts_it10000,noisy_counts_it100000,noisy_counts_it1000000,noisy_counts_it1000,noisy_counts_it10000000,nomad_run1,nomad_run2,nomad_run3,nomad_run4,nomad_run5,counts_it1000000,nomad_run5_2,nomad_run6,nomad_run7,nomad_run8,nomad_run9,nomad_run11,nomad_run12
0.09,0,0.0909091,0.08831295468484,0.001577256364983,0.095168167291528,18489.5,18145,18069.2,18054.3,18048.3,17565.3,18284,17960.2,18030.4,18527.6,18077.9,18043.1,18040.4,17333,17318.6,17310,17939.1,17307.3,18060.5,18423.6,17796.5,18217.2,17953.4,18054.3,17944.8,18010,18269.6,20035.7,18235.8,17987.6,18002.8
0.0424264,-0.0424264,0.0909091,0.043541389568229,-0.042920422515874,0.093149355479436,6539.44,6844.54,6876.93,6874.97,6879.42,6754.31,6865.14,6896.85,6879.33,6812.85,6899.93,6862.3,6883.47,6951.74,7015.64,7015.72,7017.71,7013.17,6872.06,6926.72,6913.47,6852.56,6891.67,6874.97,6896.73,6911.79,6900.75,6897.38,6868.86,6891.61,6882.39
0,-0.03,0.0909091,-0.000794000607687,-0.030358728191255,0.093246850337448,3074.71,3134.02,3143.98,3133.28,3132.96,3132.24,3146.84,3148.55,3132.57,3213.98,3159.02,3136.24,3135.27,3077.12,3082.52,3077.76,3102.69,3079.99,3133.73,3133.3,3144.72,3147.09,3136.28,3133.28,3134.55,3135.61,3126.38,3096.79,3113.19,3132.04,3138.68
0,-0.09,0.0909091,-0.002067496494308,-0.090680965112867,0.088582615309798,3195.85,3231.29,3229.72,3228.74,3229.58,3270.26,3229.96,3229.22,3229.63,3275.6,3246.58,3217.51,3228.51,3101.2,3113.29,3114.24,3166.32,3113.25,3229.98,3234.69,3249.28,3225.13,3238.45,3228.74,3236.16,3236.71,3223.82,3173.99,3214.16,3231.56,3230.21
-0.0424264,-0.0424264,0.0909091,-0.04374804054277,-0.044151919879658,0.088908872467152,1470.75,1470.43,1472.91,1474.22,1474.87,1492.23,1476.56,1475.27,1476.13,1499.52,1478.52,1474.13,1475.04,1443.1,1443.37,1441.78,1452.45,1442.42,1476.15,1472.48,1468.39,1499.23,1468.51,1474.22,1468.44,1464.29,1464.11,1469.41,1461.91,1464.95,1473.74
-0.03,0,0.0909091,-0.031624100037999,-0.001696271368368,0.089556727885369,1963.69,1842.75,1865.5,1867.41,1866.66,1988.98,1854.01,1863.18,1865.93,1831.02,1871.58,1861.36,1864.32,1811.6,1814.05,1817.67,1782.05,1816.53,1866.26,1865.66,1861.07,1890.79,1859.34,1867.41,1860.87,1857.55,1855.68,1853.65,1853.4,1856.97,1867.62
-0.09,0,0.0909091,-0.09388158810297,0.001782707279737,0.090185209482945,667.526,679.76,683.042,684.615,684.338,676.565,688.168,684.766,684.447,664.725,681.8,682.834,684.366,650.178,640.72,643.635,636.073,643.219,684.757,681.533,673.871,709.786,677.492,684.615,676.802,672.812,676.361,695.784,677.685,674.578,684.036
-0.0424264,0.0424264,0.0909091,-0.041074527210055,0.041581342322954,0.092986315794572,1475.4,1466.87,1470.74,1475.22,1474.86,1455.51,1480.2,1479.59,1475.25,1473.98,1475.84,1473.48,1474.71,1499.01,1510.19,1507.53,1495.59,1507.68,1475.18,1471.68,1467.09,1502.05,1468.13,1475.22,1467.92,1463.96,1463.68,1470.47,1460.19,1465.51,1475.1
0,0,0.114545,0.00274151982426,-0.00019787429909,0.116775125595209,3084.65,3046.56,3050.38,3052.28,3050.55,3052.07,3050.66,3056.7,3050.68,3027.2,3009.8,3049.48,3054.06,3162.89,3182.18,3190.04,3123.88,3188.05,3050.85,3055.98,3060.39,3066.59,3047.55,3052.28,3048.9,3049.7,3038.35,3016.1,3029.65,3045.56,3051.29
0,0.06,0.114545,-0.000359986787634,0.058243875729144,0.114655323506445,3006.4,3042.99,3013.67,3014.83,3017.02,3106.91,3030.31,3008.38,3014.33,3002.68,2998.06,3020.08,3017.13,2981.03,2994.83,2995.04,3067.45,2995.46,3019.16,3021.03,3026.24,3025.17,3017.15,3014.83,3018.72,3019.67,3009.41,2977.4,2998.39,3017.37,3018.34
0.0212132,0.0212132,0.114545,0.021698524741481,0.021297743921335,0.111311217267206,4468.31,4513.53,4453.74,4466.43,4467.24,4479.31,4439.38,4475.48,4470.73,4376.58,4435.13,4454.1,4474.06,4542.5,4538.84,4539.35,4464.78,4538.47,4468.82,4483.95,4488.75,4463.58,4473.03,4466.43,4475.14,4477.35,4469.1,4430.45,4451.05,4470.02,4471.45
0.0636396,0.0636396,0.114545,0.062979212430654,0.064447229242044,0.112920195129975,10576.5,10579.8,10539.1,10524.4,10519.5,10599.3,10442,10482.4,10523.4,10486.8,10586,10526.9,10511.1,10434.9,10457.6,10446.9,10555.3,10439.8,10509.5,10640,10552.3,10435.8,10545.1,10524.4,10543.5,10600.5,10603.4,10751.3,10558.6,10562.7,10513.1
0.06,0,0.114545,0.061325036860391,0.000865802840594,0.110961447757335,9383.03,9286.39,9335.15,9358.5,9359.42,9070.86,9464.37,9340.01,9346.56,9421.31,9327.12,9375.71,9357.69,9802.9,9668.72,9707.02,9901.36,9708.72,9346.92,9436.23,9357.22,9325.82,9357.18,9358.5,9362.58,9381.99,9404.91,9553.12,9370.17,9368.1,9354.64
0.0212132,-0.0212132,0.114545,0.02101041707491,-0.022371098864757,0.116523926824159,4355.67,4477.32,4479.14,4462.05,4468.58,4628.96,4442.53,4477.19,4469.82,4607.11,4436.2,4468.85,4469.93,4473.81,4439.2,4432.48,4370.24,4432.06,4468.64,4487.18,4490.43,4468.72,4475.21,4462.05,4474.59,4481.44,4470.53,4428.7,4444.72,4477.23,4466.11
0.0636396,-0.0636396,0.114545,0.06413691315623,-0.063252278320788,0.116888397665736,10412.4,10573.7,10528,10515.9,10519.2,10612.2,10590.4,10524.9,10511.8,10467.2,10544.4,10508.9,10520.8,10492.1,10580.9,10564.2,10535.9,10560.6,10527.6,10641.8,10559.2,10427.2,10549.5,10515.9,10545.9,10586.7,10598.1,10761.4,10554.9,10551.7,10514.1
0,-0.06,0.114545,0.004967058627679,-0.059447000445458,0.115658956203212,3055.15,3027.21,3019.92,3012.59,3016.5,3007.17,3007.13,3007.4,3017.3,3093.67,3020.94,3021.34,3016.86,3284.71,3297.14,3293.98,3281.11,3294.84,3018.97,3019.55,3028.09,3026.43,3017.65,3012.59,3018.13,3018.67,3010.29,2973.74,2996.65,3013.95,3015.86
-0.0212132,-0.0212132,0.114545,-0.020088943712662,-0.024096769444212,0.112784368920127,2074.3,2086.09,2087.17,2087.71,2088.06,2104.05,2083.66,2087.23,2088.57,2048,2090.96,2091.34,2090.38,2153.9,2138.16,2133.42,2151.5,2134.47,2091.6,2087.25,2088.35,2111.93,2085.02,2087.71,2084.29,2081.07,2080.03,2069.58,2073.05,2082.58,2087.32
-0.0636396,-0.0636396,0.114545,-0.064020418870762,-0.066672073155399,0.115536797423614,997.826,1000.42,1002.53,1002.5,1002.64,977.592,1001.98,1005.72,1002.93,1003.68,1004.14,1001.93,1002.63,996.042,992.467,993.314,992.256,994.352,1003.99,998.997,992.721,1027.93,995.42,1002.5,995.155,990.86,993.326,1006.66,991.663,992.973,1002.3
-0.06,0,0.114545,-0.062791644271438,-9.05375003935255E-05,0.11264088734615,1131.62,1094.51,1086.48,1087.35,1085.17,1105.56,1102.63,1085.64,1084.91,1096.42,1077.74,1086.73,1084.79,1043.9,1038.9,1039.04,1025.29,1039.47,1086.1,1082.64,1076.5,1113.39,1077.58,1087.35,1077.78,1074.38,1075.1,1090.33,1073.26,1074.03,1084.72
-0.0212132,0.0212132,0.114545,-0.017777772663371,0.023182688785076,0.113198806581238,2103.45,2085.08,2090.22,2088.63,2089.41,2060.94,2084.79,2085.07,2088.22,2102.93,2077.73,2087.21,2088.66,2225.69,2223.47,2221.65,2166.43,2222.05,2092.05,2086.84,2088.01,2112.62,2082.54,2088.63,2084.59,2082.75,2076.15,2071.83,2070.64,2082.27,2087.5
-0.0636396,0.0636396,0.114545,-0.062766320410796,0.066626673782782,0.112582012914505,998.869,1002.89,1006.67,1002.03,1002.65,985.635,995.309,1005.97,1001.66,977.999,1006.03,1003.71,1002.65,1017.74,1022.52,1019.18,1017.95,1018.69,1003.35,999.586,993.425,1028.24,995.259,1002.03,995.432,991.328,993.479,1007.06,992.28,993.163,1002.43
